Local time,Open,High,Low,Close,Volume
01.07.2020 00:00:00.000 GMT-0300,9079,9080,9079,9080,0.0014
01.07.2020 00:01:00.000 GMT-0300,9080,9080,9080,9080,0.0021
01.07.2020 00:02:00.000 GMT-0300,9080,9081,9079,9081,0.1214
01.07.2020 00:03:00.000 GMT-0300,9081,9082,9081,9082,0.0009
01.07.2020 00:04:00.000 GMT-0300,9082,9082,9079,9082,0.008
01.07.2020 00:05:00.000 GMT-0300,9082,9082,9081,9081,0.0013
01.07.2020 00:06:00.000 GMT-0300,9081,9081,9077,9078,0.0842
01.07.2020 00:07:00.000 GMT-0300,9078,9079,9077,9079,0.0008
01.07.2020 00:08:00.000 GMT-0300,9079,9079,9077,9077,0.0006
01.07.2020 00:09:00.000 GMT-0300,9077,9077,9076,9076,0.008
01.07.2020 00:10:00.000 GMT-0300,9076,9077,9075,9077,0.33
01.07.2020 00:11:00.000 GMT-0300,9077,9080,9077,9079,0.1129
01.07.2020 00:12:00.000 GMT-0300,9079,9080,9079,9080,0.0678
01.07.2020 00:13:00.000 GMT-0300,9080,9080,9079,9079,0.0453
01.07.2020 00:14:00.000 GMT-0300,9079,9080,9078,9079,0.1279
01.07.2020 00:15:00.000 GMT-0300,9079,9079,9079,9079,0.1652
01.07.2020 00:16:00.000 GMT-0300,9078,9080,9078,9079,0.0228
01.07.2020 00:17:00.000 GMT-0300,9079,9079,9078,9078,0.0002
01.07.2020 00:18:00.000 GMT-0300,9078,9078,9078,9078,0.0603
01.07.2020 00:19:00.000 GMT-0300,9078,9079,9078,9078,0.0154
01.07.2020 00:20:00.000 GMT-0300,9078,9078,9077,9077,0.0083
01.07.2020 00:21:00.000 GMT-0300,9077,9077,9075,9075,0.0008
01.07.2020 00:22:00.000 GMT-0300,9075,9077,9072,9076,0.0082
01.07.2020 00:23:00.000 GMT-0300,9076,9076,9075,9075,0.0005
01.07.2020 00:24:00.000 GMT-0300,9075,9076,9075,9075,0.0007
01.07.2020 00:25:00.000 GMT-0300,9075,9075,9075,9075,0.0007
01.07.2020 00:26:00.000 GMT-0300,9075,9075,9073,9073,0.1053
01.07.2020 00:27:00.000 GMT-0300,9074,9075,9074,9075,0.0375
01.07.2020 00:28:00.000 GMT-0300,9076,9076,9076,9076,0.0007
01.07.2020 00:29:00.000 GMT-0300,9073,9074,9073,9073,0.1825
