,y+1
10,5.412000000000001
11,5.224
12,5.268
13,4.053999999999999
14,3.384
15,3.27
16,3.43
17,3.266
18,3.728
19,5.894
20,7.706
21,7.026
22,5.1739999999999995
23,4.474
24,3.248
25,3.236
26,3.228
27,3.258
28,3.178
29,2.72
30,3.758
31,4.342
32,4.512
33,4.058
34,2.472
35,2.79
36,2.6239999999999997
37,2.772
38,3.74
39,4.928
40,6.0520000000000005
41,6.752000000000001
42,6.474
43,6.308
44,4.4639999999999995
45,3.3960000000000004
46,3.09
47,3.73
48,2.3080000000000003
49,2.388
50,4.598
51,4.524
52,4.202
53,4.4719999999999995
54,2.852
55,2.928
56,2.94
57,2.9339999999999997
58,2.926
59,3.452
60,4.87
61,4.868
62,4.8660000000000005
63,3.176
64,2.92
65,2.93
66,2.912
67,2.608
68,2.714
69,3.5380000000000003
70,6.072
71,4.5360000000000005
72,4.408
73,2.912
74,2.326
75,2.2640000000000002
76,2.27
77,2.258
78,2.188
79,2.978
80,4.2
81,4.204
82,4.218
83,2.786
84,2.54
85,2.496
86,2.336
87,2.322
88,2.448
89,4.298
90,4.23
91,4.23
92,3.924
93,4.218
94,4.224
95,4.07
96,3.612
97,3.458
98,3.4339999999999997
99,3.366
100,3.404
101,3.3819999999999997
102,3.616
103,3.4760000000000004
104,3.3939999999999997
105,3.4
106,3.4139999999999997
107,3.432
108,3.418
109,3.392
110,3.3939999999999997
111,3.3939999999999997
112,3.406
113,3.42
114,3.418
115,3.4219999999999997
116,3.332
117,3.3160000000000003
118,3.3339999999999996
119,3.262
120,3.4760000000000004
121,3.62
122,3.61
123,3.6460000000000004
124,3.614
125,3.408
126,3.388
127,3.372
128,3.37
129,3.342
130,3.284
131,3.2760000000000002
132,3.3819999999999997
133,3.418
134,3.3960000000000004
135,3.406
136,3.406
137,3.392
138,3.378
139,3.3680000000000003
140,3.35
141,3.352
142,3.364
143,3.38
144,3.404
145,3.378
146,3.388
147,3.3760000000000003
148,3.2539999999999996
149,3.214
150,3.202
151,3.202
152,3.2119999999999997
153,3.2060000000000004
154,3.214
155,3.2060000000000004
156,3.222
157,3.216
158,3.216
159,3.194
160,3.278
161,3.282
162,3.292
163,3.3160000000000003
164,3.37
165,3.42
166,3.41
167,3.4
168,3.4
169,3.388
170,3.37
171,3.332
172,3.31
173,3.312
174,3.3139999999999996
175,3.302
176,3.302
177,3.3
178,3.29
179,3.286
180,3.23
181,3.218
182,3.258
183,3.264
184,3.26
185,3.262
186,3.264
187,3.238
188,3.228
189,3.222
190,3.2260000000000004
191,3.2060000000000004
192,3.188
193,3.196
194,3.2039999999999997
195,3.2319999999999998
196,3.2539999999999996
197,3.3760000000000003
198,3.372
199,3.366
200,3.386
201,3.4960000000000004
202,3.426
203,3.44
204,3.44
205,3.4539999999999997
206,3.45
207,3.48
208,3.4739999999999998
209,3.4560000000000004
210,1.8319999999999999
211,2.044
212,3.3539999999999996
213,3.282
214,3.3080000000000003
215,3.3139999999999996
216,3.306
217,1.692
218,3.342
219,3.3539999999999996
220,3.3339999999999996
221,3.33
222,2.74
223,2.188
224,3.33
225,3.34
226,3.306
227,3.0439999999999996
228,1.766
229,3.3760000000000003
230,3.4139999999999997
231,3.426
232,3.42
233,1.876
234,3.4419999999999997
235,3.4139999999999997
236,3.412
237,2.542
238,2.82
239,3.41
240,3.392
241,2.878
242,1.848
243,3.4939999999999998
244,3.42
245,3.2260000000000004
246,1.9480000000000002
247,3.392
248,3.3680000000000003
249,3.378
250,1.8719999999999999
251,3.2119999999999997
252,3.346
